"original-question","alternative-question","sql"
"How many employees do we have in each department?","What’s the tally of employees per department?","SELECT ""t1"".""department"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE ""t1"".""is_active"" GROUP BY ""t1"".""department"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"How many employees do we have in each department?","Can you summarize the number of employees in each department for me?","SELECT ""t1"".""department"", COUNT(DISTINCT ""t1"".""id"") AS ""total"" FROM ""employees"" AS ""t1"" WHERE ""t1"".""is_active"" GROUP BY ""t1"".""department"" ORDER BY COUNT(DISTINCT ""t1"".""id"") DESC"
"Who are the active employees in the Sales department?","Can you list the employees currently working in the Sales department?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Show me the active staff members in the Sales division.","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","I need to know who is active in the Sales department.","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Who is currently employed in Sales and marked as active?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Please provide the names of active employees in Sales.","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","What are the names of the active employees within the Sales team?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","List all the employees in Sales who are currently active.","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Identify the active members of the Sales department.","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Who are the employees who are active in the Sales sector?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Can you tell me which employees are active in the Sales area?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Fetch the list of active workers in the Sales department.","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Which individuals are currently active in the Sales department?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Who are the personnel in the Sales department that are still active?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Could you give me the names of those active in Sales?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","What active employees are part of the Sales team?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Name the employees who work in Sales and are currently active.","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Who in the Sales department is still employed and active?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","List the names of active individuals in the Sales department.","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Who are the current active employees in the Sales division?","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"Who are the active employees in the Sales department?","Please tell me the active employees working in Sales.","SELECT ""t1"".""full_name"", ""t1"".""is_active"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""department"") IN ('sales')))"
"List all employees who are managers in the Finance department.","Show me all employees who are managers in the Finance department.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Can you provide a list of all managers working in Finance?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","What are the names of employees who manage in the Finance division?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Retrieve all employees that hold a managerial position in the Finance sector.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","List all individuals who are both managers and part of the Finance team.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Who are the managers in the Finance department?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Get me the employees classified as managers within the Finance department.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Identify all employees that are managers in Finance.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Please list all Finance managers.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Find all employees that are managing in the Finance department.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Can I see a list of managers from the Finance department?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Show the names of all employees who manage in Finance.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Who are the employees that are managers in the Finance area?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","List out all those who are managers in the Finance department.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Provide the details of all Finance department managers.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","What employees are both active and managing in the Finance department?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","List the active Finance employees who are also managers.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Please show all employees in Finance that manage others.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Which employees hold managerial roles in the Finance department?","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"List all employees who are managers in the Finance department.","Get a list of all active managers in the Finance division.","SELECT ""t1"".""id"", ""t1"".""updated_at"", ""t1"".""full_name"", ""t1"".""nationality"", ""t1"".""department"", ""t1"".""is_manager"", ""t1"".""location"", ""t1"".""linkedin"", ""t1"".""twitter_x"", ""t1"".""facebook"", ""t1"".""email"", ""t1"".""is_active"", ""t1"".""reports_to_id"", ""t1"".""birth_date"", ""t1"".""client"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND (""t1"".""is_manager"" = 1)) AND (LOWER(""t1"".""department"") IN ('finance')))"
"Which employees are based in remote locations?","Can you provide a list of employees who work remotely?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Who are the employees located in remote areas?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","I need the names of employees based in remote locations.","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Show me all active employees that are working from remote locations.","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Which employees are currently working from remote sites?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","List the employees whose work location is remote.","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Tell me about the employees that are stationed in remote locations.","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Are there any employees whose location is remote?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Find the active employees that are based remotely.","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","What are the names of employees whose work location is remote?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Identify employees working in remote settings.","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Can you list the employees that are located remotely?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Who works in a remote capacity among the employees?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Please show me the employees that are situated in remote locations.","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Which employees operate from a remote location?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Can you gather the names of employees who are remote workers?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","List all employees who are remote.","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Who are the active employees with remote work locations?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","What employees are currently located in remote areas?","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees are based in remote locations?","Show me the list of remote employees.","SELECT ""t1"".""full_name"", ""t1"".""location"" FROM ""employees"" AS ""t1"" WHERE (""t1"".""is_active"" AND (LOWER(""t1"".""location"") IN ('remote')))"
"Which employees have birthdays between April and June?","Who are the employees with birthdays in the months of April, May, or June?","SELECT ""t1"".""full_name"", ""t1"".""birth_date"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') > 4) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 4) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') >= 1)))) AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') < 6) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 6) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') <= 30))))"
"Which employees have birthdays between April and June?","List the names and birth dates of all employees whose birthdays fall between April and June.","SELECT ""t1"".""full_name"", ""t1"".""birth_date"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') > 4) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 4) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') >= 1)))) AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') < 6) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 6) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') <= 30))))"
"Which employees have birthdays between April and June?","Can you tell me which employees celebrate their birthdays from April through June?","SELECT ""t1"".""full_name"", ""t1"".""birth_date"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') > 4) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 4) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') >= 1)))) AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') < 6) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 6) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') <= 30))))"
"Which employees have birthdays between April and June?","Find employees that have birthdays during the time frame of April to June.","SELECT ""t1"".""full_name"", ""t1"".""birth_date"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') > 4) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 4) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') >= 1)))) AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') < 6) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 6) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') <= 30))))"
"Which employees have birthdays between April and June?","Which active employees have their birthdays in the months of April, May, or June?","SELECT ""t1"".""full_name"", ""t1"".""birth_date"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') > 4) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 4) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') >= 1)))) AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') < 6) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 6) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') <= 30))))"
"Which employees have birthdays between April and June?","Show me the employees whose birthdays are in the second quarter of the year.","SELECT ""t1"".""full_name"", ""t1"".""birth_date"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') > 4) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 4) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') >= 1)))) AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') < 6) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 6) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') <= 30))))"
"Which employees have birthdays between April and June?","I need the names and birth dates of employees born in April, May, or June.","SELECT ""t1"".""full_name"", ""t1"".""birth_date"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') > 4) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 4) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') >= 1)))) AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') < 6) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 6) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') <= 30))))"
"Which employees have birthdays between April and June?","What are the birthdays of employees that occur between April and June?","SELECT ""t1"".""full_name"", ""t1"".""birth_date"" FROM ""employees"" AS ""t1"" WHERE ((""t1"".""is_active"" AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') > 4) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 4) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') >= 1)))) AND ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') < 6) OR ((CAST(strftime('%m', ""t1"".""birth_date""), 'INTEGER') = 6) AND (CAST(strftime('%d', ""t1"".""birth_date""), 'INTEGER') <= 30))))"
